date,home_team,away_team,ht_1,at_2,closest_match
25Apr21:15INTEuroleagueId:D755,AS Monaco,Maccabi Tel-Aviv,1.49,2.6,N/A
25Apr21:45INTEuroleagueId:D758,Real Madrid,KK Partizan Belgrade,1.32,3.35,N/A
26Apr19:00INTEurocupId:D342,BC Prometey,Turk Telekom,1.53,2.15,N/A
26Apr21:00INTEuroleagueId:B765,FC Barcelona,BC Zalgiris Kaunas,1.14,5.4,Riga FC
26Apr21:45INTEuroleagueId:A851,BC Olympiakos Piraeus,Fenerbahce Istanbul,1.29,3.5,N/A
26Apr22:00INTEurocupId:D792,CB Gran Canaria,Club Joventut Badalona,1.35,2.65,N/A
25Apr13:00KORKBLId:B847,Anyang KGC,Seoul SK Knights,1.53,2.14,N/A
25Apr14:35CHNCBAId:A529,Zhejiang Golden Bulls,Shenzhen Aviators,1.16,4.4,N/A
25Apr15:00SRBSrpskaLigaId:A269,Esenler Erokspor,Aykanat SK,1.13,4.3,N/A
25Apr15:00SRBSrpskaLigaId:E146,Istanbul Efendileri,Yalova Acarspor,1.05,6.0,N/A
25Apr16:45LebanonFirstDivisionId:A461,Homenetmen,Leaders Club Louaize,1.58,2.05,N/A
25Apr18:00SRBSrpskaLigaId:A244,Nazilli Belediye,Etimesgut Belediyesi,,,N/A
25Apr18:10CZENBLId:B295,Sluneta Usti nad Labem,BK Pardubice,1.58,2.05,N/A
25Apr18:30LTULKLId:A773,BC Prienai,BC Neptunas Klaipeda,3.1,1.26,N/A
25Apr18:30CZENBLId:D511,BK Nova Hut Ostrava,BK Decin,1.83,1.74,N/A
25Apr18:30SRBSrpskaLigaId:A569,Ilker Sehri Usak,Co Basketbol,1.74,1.83,N/A
25Apr18:30FIN1DivisionId:A283,Jyvaskyla Basketball Academy,Bisons Loimaa,1.93,1.66,N/A
25Apr18:30FINKorisliiganId:A627,Kauhajoki Karhu Basket,Salon Vilpas Vikings,1.05,5.8,N/A
25Apr19:00ROULigaNationalaId:B359,ACS Universitatea Cluj-Napoca,CS Rapid Bucuresti,1.08,5.0,N/A
25Apr19:00LVALBLId:A255,BK Ventspils,BK Ogre,1.52,2.16,N/A
25Apr19:00SRBSrpskaLigaId:A517,Cayirova Belediyesi,Rino Seramik Porselen SK Ankara,1.0,8.2,N/A
25Apr19:00TURTKBLId:A354,Fenerbahce SK,CBK Mersin Yenisehir Bld,1.2,3.9,N/A
25Apr19:00SRBSrpskaLigaId:A289,Istanbul Anka SK,Uskudar Belediyesi,1.39,2.5,N/A
25Apr19:00INTLigaABAId:A933,KK Borac Cacak,Helios Domzale,1.58,2.06,N/A
25Apr19:00ESTKMLId:B756,Kk Parnu,Kk Rapla,1.56,2.08,N/A
25Apr19:00ITASerieBId:D347,Lions Basket Bisceglie,Juvecaserta Academy,1.54,2.12,N/A
