time,date,game_id,home_team,away_team,ht_1,at_2
13:00,25/04/23,ID: 4899,Sofapaka,Wazito,1.73,3.14
15:15,25/04/23,ID: 1779,Mathare United,Kariobangi Sharks,1.17,1.88
20:30,25/04/23,ID: 3830,Cadiz CF,Osasuna,,
20:30,25/04/23,ID: 3553,Girona,Real Madrid,2.02,1.66
21:30,25/04/23,ID: 4385,Wolverhampton,Crystal Palace,3.43,3.14
21:30,25/04/23,ID: 1734,Sporting Braga,Nacional Madeira,1.65,1.28
21:45,25/04/23,ID: 3786,Aston Villa,Fulham,,
22:00,25/04/23,ID: 3630,Leeds,Leicester,1.79,1.85
22:00,25/04/23,ID: 1817,Blackburn,Burnley,2.32,3.08
23:00,25/04/23,ID: 5652,Betis,Real Sociedad,1.35,1.59
20:30,26/04/23,ID: 4104,Atletico Madrid,Mallorca,2.43,1.50
20:30,26/04/23,ID: 1456,Getafe,Almeria,2.07,1.67
21:30,26/04/23,ID: 5841,Nottingham,Brighton,5.10,3.97
21:45,26/04/23,ID: 4121,West Ham,Liverpool,2.31,1.17
21:45,26/04/23,ID: 1358,Chelsea,Brentford,1.60,2.21
13:30,25/04/23,ID: 5700,Pohang Steelers,Suwon Samsung,1.68,2.06
13:30,25/04/23,ID: 1160,Incheon Utd,Ulsan Hyundai,2.38,3.13
14:35,25/04/23,ID: 1151,Meizhou Kejia,Wuhan Three Towns FC,1.37,1.56
15:00,25/04/23,ID: 3010,Lernayin Artsakh FC,Artsakh,2.29,1.55
15:00,25/04/23,ID: 2738,Torpedo Kutaisi,Saburtalo Tbilisi,1.98,1.74
16:00,25/04/23,ID: 3997,Mamelodi Sundowns,Richards Bay FC,1.13,7.67
16:00,25/04/23,ID: 5898,Cardiff City U23,Barnsley U23,1.01,2.90
17:00,25/04/23,ID: 1988,FC Vizela U23,Benfica U23,1.43,2.65
17:00,25/04/23,ID: 1272,Estrela Amadora U23,SP. Braga U23,2.34,1.49
17:30,25/04/23,ID: 5309,NK Bistrica,Maribor,1.80,3.69
18:00,25/04/23,ID: 2092,Riga FC,FS Metta/Lu,1.24,1.95
18:00,25/04/23,ID: 5861,Lehpa,FC KTP,1.82,1.88
18:30,25/04/23,ID: 4541,Teplice,Mlada Boleslav,1.77,1.94
18:30,25/04/23,ID: 1178,Pardubice,Slovacko,2.31,3.43
18:55,25/04/23,ID: 4744,Alshoulla,AL Arabi (SA),1.40,1.59
